ReNummer;SummeNetto;MwStSatz;ZahlungsbetragBrutto;KdNr;Summenebenkosten;ReDatum;Zahlungsdatum
103493;375.00;0;0.00;81097;0.00;2025-04-01 00:00:00.000;NULL
103492;450.00;7;0.00;81060;0.00;2025-04-01 00:00:00.000;NULL
103491;145.00;0;0.00;81044;0.00;2025-04-01 00:00:00.000;NULL
103490;700.00;0;0.00;80918;0.00;2025-04-01 00:00:00.000;NULL
103489;5400.00;0;0.00;80849;0.00;2025-03-27 00:00:00.000;NULL
103488;1500.00;0;0.00;80847;0.00;2025-04-01 00:00:00.000;NULL
103487;208.00;0;0.00;79348;0.00;2025-04-01 00:00:00.000;NULL
103486;2400.00;7;0.00;20650;0.00;2025-04-01 00:00:00.000;NULL
103485;100.00;0;0.00;80190;0.00;2025-04-01 00:00:00.000;NULL
103484;2200.00;0;2200.00;80184;0.00;2025-03-27 00:00:00.000;2025-04-02 00:00:00.000
103483;600.00;7;642.00;80102;0.00;2025-04-01 00:00:00.000;2025-03-28 00:00:00.000
103482;800.00;7;856.00;10384;0.00;2025-04-01 00:00:00.000;2025-04-01 00:00:00.000
103481;195.00;7;208.65;12053;0.00;2025-04-01 00:00:00.000;2025-03-31 00:00:00.000
103480;1042.00;7;0.00;10290;0.00;2025-04-01 00:00:00.000;NULL
103479;1300.00;7;0.00;20697;0.00;2025-04-01 00:00:00.000;NULL
103478;2500.00;7;0.00;10049;0.00;2025-04-01 00:00:00.000;NULL
103477;166.00;0;0.00;79560;0.00;2025-04-01 00:00:00.000;NULL
103476;1000.00;7;0.00;75752;0.00;2025-04-01 00:00:00.000;NULL
103475;23000.00;7;0.00;10039;0.00;2025-04-01 00:00:00.000;NULL
103474;400.00;7;0.00;78020;0.00;2025-04-01 00:00:00.000;NULL
103473;2500.00;7;0.00;20827;0.00;2025-04-01 00:00:00.000;NULL
103472;155.95;7;166.87;79210;0.00;2025-04-01 00:00:00.000;2025-04-02 00:00:00.000
103471;495.00;0;0.00;72631;0.00;2025-04-01 00:00:00.000;NULL
103470;100.00;0;0.00;79148;0.00;2025-04-01 00:00:00.000;NULL
103469;1200.00;0;0.00;79149;0.00;2025-04-01 00:00:00.000;NULL
103468;600.00;7;0.00;79041;0.00;2025-04-01 00:00:00.000;NULL
103467;1700.00;7;0.00;76875;0.00;2025-04-01 00:00:00.000;NULL
103466;475.00;7;0.00;74026;0.00;2025-04-01 00:00:00.000;NULL
103465;600.00;7;0.00;73561;0.00;2025-04-01 00:00:00.000;NULL
103464;380.00;0;0.00;11194;0.00;2025-04-01 00:00:00.000;NULL
103463;375.00;7;401.25;78666;0.00;2025-04-01 00:00:00.000;2025-04-02 00:00:00.000
103462;28500.00;7;0.00;78468;0.00;2025-04-01 00:00:00.000;NULL
103461;70.00;7;0.00;73972;0.00;2025-04-01 00:00:00.000;NULL
103460;1500.00;7;0.00;12173;0.00;2025-04-01 00:00:00.000;NULL
103459;316.00;7;338.12;20743;0.00;2025-04-01 00:00:00.000;2025-04-02 00:00:00.000
103458;1550.00;0;0.00;10616;0.00;2025-04-01 00:00:00.000;NULL
103457;3599.00;7;0.00;20080;0.00;2025-04-01 00:00:00.000;NULL
103456;1700.00;7;0.00;12603;0.00;2025-04-01 00:00:00.000;NULL
103455;1000.00;0;0.00;10251;0.00;2025-04-01 00:00:00.000;NULL
103454;5750.00;7;0.00;20267;0.00;2025-04-01 00:00:00.000;NULL
103453;9500.00;7;0.00;20731;0.00;2025-04-01 00:00:00.000;NULL
103452;4800.00;7;5136.00;73221;0.00;2025-04-01 00:00:00.000;2025-04-02 00:00:00.000
103451;1950.00;7;2086.50;12132;0.00;2025-04-01 00:00:00.000;2025-03-27 00:00:00.000
103450;700.00;7;0.00;77680;0.00;2025-04-01 00:00:00.000;NULL
103449;1750.00;7;0.00;10952;0.00;2025-04-01 00:00:00.000;NULL
103448;805.00;7;0.00;77174;0.00;2025-04-01 00:00:00.000;NULL
103447;1250.00;7;1337.50;75745;0.00;2025-04-01 00:00:00.000;2025-04-02 00:00:00.000
103446;650.00;7;695.00;75254;0.00;2025-04-01 00:00:00.000;2025-04-01 00:00:00.000
103445;275.00;7;0.00;12324;0.00;2025-04-01 00:00:00.000;NULL
103444;100.00;7;0.00;10349;0.00;2025-04-01 00:00:00.000;NULL
103443;545.50;7;0.00;75232;0.00;2025-04-01 00:00:00.000;NULL
103442;870.00;0;0.00;73168;0.00;2025-04-01 00:00:00.000;NULL
103441;466.00;0;0.00;50286;0.00;2025-04-01 00:00:00.000;NULL
103440;2639.00;0;0.00;20993;0.00;2025-04-01 00:00:00.000;NULL
103439;1575.00;7;1605.00;75279;0.00;2025-04-01 00:00:00.000;2025-03-28 00:00:00.000
103438;1300.00;7;0.00;72874;0.00;2025-04-01 00:00:00.000;NULL
103437;7500.00;7;0.00;75237;0.00;2025-04-01 00:00:00.000;NULL
103436;4600.00;0;0.00;72120;0.00;2025-04-01 00:00:00.000;NULL
103435;1350.00;7;0.00;20639;0.00;2025-04-01 00:00:00.000;NULL
103434;340.00;7;0.00;11480;0.00;2025-04-01 00:00:00.000;NULL
103433;4000.00;7;0.00;20434;0.00;2025-04-01 00:00:00.000;NULL
103432;172.00;7;0.00;20361;0.00;2025-04-01 00:00:00.000;NULL
103431;4200.00;7;0.00;20342;0.00;2025-04-01 00:00:00.000;NULL
103430;1990.00;7;2129.30;10216;0.00;2025-04-01 00:00:00.000;2025-03-28 00:00:00.000
103429;525.00;7;0.00;72632;0.00;2025-04-01 00:00:00.000;NULL
103428;1100.00;7;0.00;20444;0.00;2025-04-01 00:00:00.000;NULL
103427;3750.00;0;0.00;10722;0.00;2025-04-01 00:00:00.000;NULL
103426;13750.00;0;0.00;10964;0.00;2025-04-01 00:00:00.000;NULL
103425;7500.00;7;0.00;20121;0.00;2025-04-01 00:00:00.000;NULL
103424;2250.00;7;0.00;12082;0.00;2025-04-01 00:00:00.000;NULL
103423;169.00;7;0.00;12348;0.00;2025-04-01 00:00:00.000;NULL
103422;3900.00;7;4173.00;12197;0.00;2025-04-01 00:00:00.000;2025-04-02 00:00:00.000
103421;875.00;0;0.00;80373;0.00;2025-03-31 00:00:00.000;NULL
103420;2322.00;7;2484.54;79666;0.00;2025-03-26 00:00:00.000;2025-03-26 00:00:00.000
103419;20500.00;7;0.00;12187;0.00;2025-04-01 00:00:00.000;NULL
103418;75.00;7;0.00;10655;0.00;2025-03-26 00:00:00.000;NULL
103417;10000.00;0;0.00;76050;0.00;2025-03-26 00:00:00.000;NULL
103416;5000.00;0;0.00;76050;0.00;2025-03-26 00:00:00.000;NULL
103415;75000.00;0;0.00;76050;0.00;2025-03-26 00:00:00.000;NULL
103414;2500.00;7;0.00;10851;0.00;2025-04-01 00:00:00.000;NULL
103413;12500.00;7;0.00;20054;0.00;2025-04-01 00:00:00.000;NULL
103412;5000.00;0;0.00;79794;0.00;2025-03-26 00:00:00.000;NULL
103411;1980.00;0;0.00;73000;0.00;2025-03-26 00:00:00.000;NULL
103410;843.75;0;0.00;73000;0.00;2025-03-26 00:00:00.000;NULL
103409;240.00;0;0.00;81398;0.00;2025-03-31 00:00:00.000;NULL
103408;136.59;0;0.00;79505;0.00;2025-03-26 00:00:00.000;NULL
103407;167.76;0;0.00;79505;0.00;2025-03-26 00:00:00.000;NULL
103406;49.00;7;0.00;12033;0.00;2025-03-26 00:00:00.000;NULL
103405;1360.00;0;0.00;80874;0.00;2025-03-25 00:00:00.000;NULL
103404;1000.00;0;0.00;81391;0.00;2025-03-25 00:00:00.000;NULL
103403;1050.00;0;0.00;80598;0.00;2025-03-25 00:00:00.000;NULL
103402;204.23;0;204.23;79829;0.00;2025-03-24 00:00:00.000;2025-03-24 00:00:00.000
103401;1035.00;7;0.00;50450;0.00;2025-03-25 00:00:00.000;NULL
103400;270.00;7;0.00;80348;0.00;2025-03-25 00:00:00.000;NULL
103399;40.00;7;0.00;10956;0.00;2025-03-25 00:00:00.000;NULL
103398;130.00;7;139.10;20524;0.00;2025-03-25 00:00:00.000;2025-03-26 00:00:00.000
103397;89.77;0;89.77;79944;0.00;2025-03-25 00:00:00.000;2025-03-31 00:00:00.000
103396;69.00;7;0.00;50450;0.00;2025-03-24 00:00:00.000;NULL
103395;3355.00;7;0.00;72880;0.00;2025-03-24 00:00:00.000;NULL
103394;897.00;0;0.00;72450;0.00;2025-03-24 00:00:00.000;NULL
103393;6410.05;0;6410.05;75143;0.00;2025-03-24 00:00:00.000;2025-03-17 00:00:00.000
103392;493.52;0;491.71;81357;1.81;2025-03-24 00:00:00.000;2025-03-26 00:00:00.000
103391;207.00;7;0.00;50450;0.00;2025-03-24 00:00:00.000;NULL
103390;29.00;7;31.03;10233;0.00;2025-03-21 00:00:00.000;2025-03-26 00:00:00.000
103389;322.24;7;344.80;20115;0.00;2025-03-12 00:00:00.000;2025-03-13 00:00:00.000
103388;1115.00;7;1193.05;10275;0.00;2025-02-28 00:00:00.000;2025-03-21 00:00:00.000
103387;1950.00;7;0.00;79806;0.00;2025-03-21 00:00:00.000;NULL
103386;160.00;7;171.20;11302;0.00;2025-03-10 00:00:00.000;2025-03-13 00:00:00.000
103385;20.00;7;21.40;73247;0.00;2025-03-10 00:00:00.000;2025-03-13 00:00:00.000
103384;22512.00;0;0.00;79987;0.00;2025-03-20 00:00:00.000;NULL
103383;4760.52;0;0.00;81385;0.00;2025-03-20 00:00:00.000;NULL
103382;468.00;7;500.76;20288;0.00;2025-03-20 00:00:00.000;2025-03-21 00:00:00.000
103381;180.00;7;192.60;20524;0.00;2025-03-20 00:00:00.000;2025-03-25 00:00:00.000
103380;1797.32;0;0.00;79705;0.00;2025-03-20 00:00:00.000;NULL
103379;621.30;0;0.00;79705;0.00;2025-03-20 00:00:00.000;NULL
103378;380.00;7;406.60;20251;0.00;2025-02-28 00:00:00.000;2025-03-11 00:00:00.000
103377;91.80;0;0.00;78096;0.00;2025-03-20 00:00:00.000;NULL
103376;1475.00;7;0.00;81382;0.00;2025-03-20 00:00:00.000;NULL
103375;3368.00;7;3603.76;79666;0.00;2025-03-19 00:00:00.000;2025-03-19 00:00:00.000
103374;450.00;7;481.50;79994;0.00;2025-03-19 00:00:00.000;2025-03-21 00:00:00.000
103373;3000.00;7;0.00;80605;0.00;2025-03-19 00:00:00.000;NULL
103372;28.80;0;0.00;10696;0.00;2025-03-19 00:00:00.000;NULL
103371;4370.00;7;4675.90;20020;0.00;2025-03-18 00:00:00.000;2025-03-21 00:00:00.000
103370;3768.84;0;0.00;78042;0.00;2025-03-18 00:00:00.000;NULL
103369;242.83;0;0.00;10990;0.00;2025-03-18 00:00:00.000;NULL
103368;800.00;0;0.00;79998;0.00;2025-03-18 00:00:00.000;NULL
103367;225.00;0;225.00;79150;0.00;2025-03-18 00:00:00.000;2025-03-26 00:00:00.000
103366;3422.00;7;3661.54;79278;0.00;2025-03-17 00:00:00.000;2025-04-01 00:00:00.000
103365;300.00;7;321.00;10113;0.00;2025-03-17 00:00:00.000;2025-03-28 00:00:00.000
103364;771.13;0;0.00;78568;0.00;2025-03-17 00:00:00.000;NULL
103363;849.32;0;0.00;78567;0.00;2025-03-17 00:00:00.000;NULL
103362;402.60;0;0.00;78566;0.00;2025-03-17 00:00:00.000;NULL
103361;1932.00;7;2067.24;72493;0.00;2025-03-17 00:00:00.000;2025-03-31 00:00:00.000
103360;518.00;7;554.26;72493;0.00;2025-03-17 00:00:00.000;2025-03-31 00:00:00.000
103359;1946.00;7;2082.22;72493;0.00;2025-03-17 00:00:00.000;2025-03-31 00:00:00.000
103358;952.00;7;1018.64;72493;0.00;2025-03-17 00:00:00.000;2025-04-01 00:00:00.000
103357;1022.00;7;1093.54;72493;0.00;2025-03-17 00:00:00.000;2025-03-31 00:00:00.000
103356;840.00;7;898.80;72493;0.00;2025-03-17 00:00:00.000;2025-03-31 00:00:00.000
103355;2777.00;7;2971.39;11058;0.00;2025-03-17 00:00:00.000;2025-03-18 00:00:00.000
103354;354.43;0;0.00;10650;0.00;2025-03-17 00:00:00.000;NULL
103353;10000.00;0;0.00;80017;0.00;2025-03-17 00:00:00.000;NULL
103352;10952.25;0;0.00;77466;0.00;2025-03-17 00:00:00.000;NULL
103351;480.00;0;480.00;79722;0.00;2025-03-17 00:00:00.000;2025-03-26 00:00:00.000
103350;750.00;7;802.50;20996;0.00;2025-03-17 00:00:00.000;2025-03-26 00:00:00.000
103349;617.00;0;617.00;81264;0.00;2025-03-17 00:00:00.000;2025-03-25 00:00:00.000
103348;724.65;0;724.65;81264;0.00;2025-03-17 00:00:00.000;2025-03-25 00:00:00.000
103347;1500.00;0;1500.00;78646;0.00;2025-03-17 00:00:00.000;2025-03-31 00:00:00.000
103346;10480.49;0;0.00;79705;0.00;2025-03-17 00:00:00.000;NULL
103345;2000.00;0;0.00;81170;0.00;2025-03-17 00:00:00.000;NULL
103344;104.00;7;111.28;80346;0.00;2025-03-17 00:00:00.000;2025-03-18 00:00:00.000
103343;2166.67;0;0.00;80135;0.00;2025-03-16 00:00:00.000;NULL
103342;300.00;0;300.00;78721;0.00;2025-03-17 00:00:00.000;2025-03-20 00:00:00.000
103341;75.00;7;0.00;79184;0.00;2025-03-17 00:00:00.000;NULL
103340;1974.00;7;2112.18;72804;0.00;2025-03-17 00:00:00.000;2025-03-28 00:00:00.000
103339;6200.00;7;6634.00;12392;0.00;2025-03-16 00:00:00.000;2025-03-18 00:00:00.000
103338;1694.00;0;0.00;80598;0.00;2025-03-16 00:00:00.000;NULL
103337;700.00;0;0.00;81373;0.00;2025-03-16 00:00:00.000;NULL
103336;2640.00;7;2824.80;77940;0.00;2025-03-14 00:00:00.000;2025-03-26 00:00:00.000
103335;522.00;7;558.54;10062;0.00;2025-03-10 00:00:00.000;2025-03-10 00:00:00.000
103334;60.00;7;64.20;12672;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103333;1226.40;0;1226.40;11250;0.00;2025-03-13 00:00:00.000;2025-03-27 00:00:00.000
103332;184.49;0;0.00;20651;0.00;2025-03-13 00:00:00.000;NULL
103331;6439.01;0;0.00;79705;0.00;2025-03-13 00:00:00.000;NULL
103330;1314.65;0;0.00;79705;0.00;2025-03-13 00:00:00.000;NULL
103329;3000.00;7;0.00;75665;0.00;2025-03-13 00:00:00.000;NULL
103328;616.66;0;0.00;81333;0.00;2025-03-13 00:00:00.000;NULL
103327;1548.61;0;0.00;78911;0.00;2025-03-13 00:00:00.000;NULL
103326;950.00;7;0.00;30218;0.00;2025-03-13 00:00:00.000;NULL
103325;750.00;0;750.00;81157;0.00;2025-03-13 00:00:00.000;2025-04-02 00:00:00.000
103324;375.00;0;0.00;81151;0.00;2025-03-13 00:00:00.000;NULL
103323;1680.00;0;0.00;81137;0.00;2025-03-13 00:00:00.000;NULL
103322;178.79;0;0.00;81070;0.00;2025-03-13 00:00:00.000;NULL
103321;1192.00;0;0.00;80965;0.00;2025-03-13 00:00:00.000;NULL
103320;750.00;0;750.00;80188;0.00;2025-03-13 00:00:00.000;2025-03-24 00:00:00.000
103319;750.00;0;750.00;80188;0.00;2025-03-13 00:00:00.000;2025-03-24 00:00:00.000
103318;1500.00;0;1500.00;80188;0.00;2025-03-13 00:00:00.000;2025-03-24 00:00:00.000
103317;160.00;7;171.20;10757;0.00;2025-03-13 00:00:00.000;2025-03-26 00:00:00.000
103316;7291.00;7;7801.37;20005;0.00;2025-03-12 00:00:00.000;2025-03-14 00:00:00.000
103315;3480.00;0;3480.00;79806;0.00;2025-03-13 00:00:00.000;2025-03-27 00:00:00.000
103314;2800.00;0;0.00;79803;0.00;2025-03-13 00:00:00.000;NULL
103313;19.00;7;20.33;10231;0.00;2025-03-12 00:00:00.000;2025-03-12 00:00:00.000
103312;835.00;7;893.45;79666;0.00;2025-03-12 00:00:00.000;2025-03-12 00:00:00.000
103311;150.00;0;0.00;75903;0.00;2025-03-13 00:00:00.000;NULL
103310;100.00;7;107.00;10113;0.00;2025-03-13 00:00:00.000;2025-03-20 00:00:00.000
103309;6000.00;0;0.00;78663;0.00;2025-03-13 00:00:00.000;NULL
103308;495.00;7;529.65;79476;0.00;2025-03-13 00:00:00.000;2025-03-25 00:00:00.000
103307;275.00;7;0.00;79482;0.00;2025-03-13 00:00:00.000;NULL
103306;80.00;0;80.00;80797;0.00;2025-03-13 00:00:00.000;2025-03-21 00:00:00.000
103305;387.13;0;387.09;78691;0.04;2025-03-13 00:00:00.000;2025-03-25 00:00:00.000
103304;1500.00;0;1500.00;10250;0.00;2025-03-13 00:00:00.000;2025-03-31 00:00:00.000
103303;240.00;7;240.00;78338;0.00;2025-03-13 00:00:00.000;2025-03-17 00:00:00.000
103302;339.00;7;362.73;20985;0.00;2025-03-13 00:00:00.000;2025-04-02 00:00:00.000
103301;2550.00;0;0.00;78281;0.00;2025-03-13 00:00:00.000;NULL
103300;500.00;7;535.00;10794;0.00;2025-03-13 00:00:00.000;2025-03-21 00:00:00.000
103299;650.00;7;695.50;21119;0.00;2025-03-13 00:00:00.000;2025-03-21 00:00:00.000
103298;55175.70;0;55132.45;78378;43.25;2025-03-13 00:00:00.000;2025-03-31 00:00:00.000
103297;1375.00;7;0.00;21074;0.00;2025-03-13 00:00:00.000;NULL
103296;458.33;7;490.41;20782;0.00;2025-03-13 00:00:00.000;2025-03-31 00:00:00.000
103295;680.00;7;727.60;10311;0.00;2025-03-13 00:00:00.000;2025-04-01 00:00:00.000
103294;348.00;7;0.00;75097;0.00;2025-03-13 00:00:00.000;NULL
103293;150.00;0;0.00;10677;0.00;2025-03-13 00:00:00.000;NULL
103292;485.00;0;485.00;78016;0.00;2025-03-13 00:00:00.000;2025-03-20 00:00:00.000
103291;3700.00;7;3959.00;75176;0.00;2025-03-13 00:00:00.000;2025-03-25 00:00:00.000
103290;1200.00;7;0.00;77869;0.00;2025-03-13 00:00:00.000;NULL
103289;600.00;7;642.00;12289;0.00;2025-03-13 00:00:00.000;2025-03-24 00:00:00.000
103288;3000.00;7;0.00;30082;0.00;2025-03-13 00:00:00.000;NULL
103287;11500.00;7;0.00;30082;0.00;2025-03-13 00:00:00.000;NULL
103286;300.00;7;0.00;12572;0.00;2025-03-13 00:00:00.000;NULL
103285;2000.00;7;2140.00;73287;0.00;2025-03-13 00:00:00.000;2025-03-28 00:00:00.000
103284;2000.00;7;0.00;12407;0.00;2025-03-13 00:00:00.000;NULL
103283;750.00;7;802.50;10256;0.00;2025-03-13 00:00:00.000;2025-03-21 00:00:00.000
103282;5625.00;0;0.00;80957;0.00;2025-03-13 00:00:00.000;NULL
103281;112650.00;0;0.00;80835;0.00;2025-03-13 00:00:00.000;NULL
103280;1320.00;7;1412.40;79727;0.00;2025-03-12 00:00:00.000;2025-03-25 00:00:00.000
103279;400.00;7;428.00;12020;0.00;2025-03-12 00:00:00.000;2025-03-21 00:00:00.000
103278;1900.00;7;0.00;20213;0.00;2025-03-12 00:00:00.000;NULL
